balance_id,account_id,snapshot_month,statement_balance_cad,credit_limit_cad,utilization_rate,minimum_payment_cad,amount_paid_cad,days_past_due
BALFA9E27F21A1F,ACC79CD05D28EF8,2024-03-01,1500,1500,1.0,45.0,408.6,10
BAL0B167449AB13,ACC79CD05D28EF8,2024-04-01,1500,1500,1.0,45.0,984.92,2
BAL0480E8ECB2C4,ACC79CD05D28EF8,2024-05-01,1339.6,1500,0.8931,40.19,852.74,0
BAL4704293ADD8C,ACC79CD05D28EF8,2024-06-01,1397.91,1500,0.9319,41.94,1126.66,0
BAL28A88A9CAFBE,ACC79CD05D28EF8,2024-07-01,1333.84,1500,0.8892,40.02,879.01,0
BAL571B041E8056,ACC79CD05D28EF8,2024-08-01,1399.81,1500,0.9332,41.99,407.0,1
BALEBF49FE73C45,ACC79CD05D28EF8,2024-09-01,1268.12,1500,0.8454,38.04,173.79,2
BALA68E82187B40,ACC79CD05D28EF8,2024-10-01,1295.79,1500,0.8639,38.87,607.96,0
BALB37B3A42F7C1,ACC79CD05D28EF8,2024-11-01,1256.11,1500,0.8374,37.68,223.06,0
BAL31BA20DD216E,ACC79CD05D28EF8,2024-12-01,1500,1500,1.0,45.0,77.2,4
BAL223179D2B16F,ACC79CD05D28EF8,2025-01-01,1362.52,1500,0.9083,40.88,620.31,0
BALDA6B6A889C10,ACC79CD05D28EF8,2025-02-01,1166.62,1500,0.7777,35.0,137.07,3
BALB7A82E5D8F22,ACC79CD05D28EF8,2025-03-01,1176.74,1500,0.7845,35.3,932.16,0
BAL37EAAFC2F385,ACC79CD05D28EF8,2025-04-01,1225.94,1500,0.8173,36.78,478.43,0
BAL1AAAA8D493B5,ACC99EA03B346CB,2024-03-01,1838.78,3000,0.6129,55.16,315.73,0
BAL086B1F86527E,ACC99EA03B346CB,2024-04-01,1772.03,3000,0.5907,53.16,727.68,0
BALA8C5CCD3AFBC,ACC99EA03B346CB,2024-05-01,2019.88,3000,0.6733,60.6,550.58,0
BALBE335623F45B,ACC99EA03B346CB,2024-06-01,2010.67,3000,0.6702,60.32,84.92,8
BALC67FD09C70BF,ACC99EA03B346CB,2024-07-01,2003.07,3000,0.6677,60.09,1954.44,0
BAL6C88F6577AD1,ACC99EA03B346CB,2024-08-01,1926.65,3000,0.6422,57.8,1916.44,3
BAL9052FE22808A,ACC99EA03B346CB,2024-09-01,1773.63,3000,0.5912,53.21,1199.02,8
BAL5EA4DF53C4DA,ACC99EA03B346CB,2024-10-01,1677.85,3000,0.5593,50.34,683.64,11
BAL34247D3318EA,ACC99EA03B346CB,2024-11-01,1557.16,3000,0.5191,46.71,1146.68,0
BALFCFCDAD6D8BC,ACC99EA03B346CB,2024-12-01,1729.52,3000,0.5765,51.89,973.88,4
BAL48359111C4E3,ACC99EA03B346CB,2025-01-01,1678.93,3000,0.5596,50.37,637.35,4
BALA3F3912287EC,ACC99EA03B346CB,2025-02-01,1504.97,3000,0.5017,45.15,1018.4,4
BALBDB360E1E642,ACC99EA03B346CB,2025-03-01,1522.05,3000,0.5073,45.66,67.91,0
BAL3E85F490CAF3,ACC99EA03B346CB,2025-04-01,1719.25,3000,0.5731,51.58,1026.66,0
BAL5411BE6E5498,ACCA5504218E094,2022-05-01,728.71,1500,0.4858,25,8.63,37
BAL5C9F02213C0A,ACCA5504218E094,2022-06-01,872.91,1500,0.5819,26.19,2.03,35
BALF3613650DA5C,ACCA5504218E094,2022-07-01,922.87,1500,0.6152,27.69,9.5,31
BALA278CD911923,ACCA5504218E094,2022-08-01,892.08,1500,0.5947,26.76,12.97,35
BAL8AC74105D8AD,ACCA5504218E094,2022-09-01,869.84,1500,0.5799,26.1,2.01,33
BALB8C5642E35FD,ACCA5504218E094,2022-10-01,938.02,1500,0.6253,28.14,1.51,31
BAL720866C14D56,ACCA5504218E094,2022-11-01,1017.2,1500,0.6781,30.52,9.84,35
BAL7F642F7DBAC9,ACCA5504218E094,2022-12-01,990.86,1500,0.6606,29.73,13.26,35
BAL2347DB78C076,ACCA5504218E094,2023-01-01,979.74,1500,0.6532,29.39,10.65,34
BAL8B0171315C32,ACCA5504218E094,2023-02-01,905.09,1500,0.6034,27.15,0.54,33
BALA3AF08FC1BED,ACCA5504218E094,2023-03-01,976.46,1500,0.651,29.29,7.18,29
BALB900EB22D9F0,ACCA5504218E094,2023-04-01,1059.81,1500,0.7065,31.79,8.64,32
BALA3B02E7D7C6E,ACCA5504218E094,2023-05-01,1293.64,1500,0.8624,38.81,11.62,40
BALE52868E70803,ACCA5504218E094,2023-06-01,1500,1500,1.0,45.0,3.61,30
BALBB701A67D4BA,ACCA5504218E094,2023-07-01,1500,1500,1.0,45.0,12.19,34
BAL9E525E00047F,ACCA5504218E094,2023-08-01,1500,1500,1.0,45.0,17.46,27
BALCC79E001CD49,ACCA5504218E094,2023-09-01,1500,1500,1.0,45.0,13.94,35
BAL8BA85886EC1D,ACCA5504218E094,2023-10-01,1482.04,1500,0.988,44.46,13.79,34
BAL1990161DB7FE,ACCA5504218E094,2023-11-01,1500,1500,1.0,45.0,18.43,37
BAL95C92B3F1CD8,ACCA5504218E094,2023-12-01,1394.93,1500,0.93,41.85,14.3,35
BAL95D5ACCAF622,ACCA5504218E094,2024-01-01,1336.49,1500,0.891,40.09,8.21,32
BAL9B20E5566A46,ACCA5504218E094,2024-02-01,1297.5,1500,0.865,38.92,1.87,34
BALA2B828565077,ACCA5504218E094,2024-03-01,1500,1500,1.0,45.0,4.02,34
BAL27737A1954A6,ACCA5504218E094,2024-04-01,1315.64,1500,0.8771,39.47,2.11,35
BAL62BCB0E31C2F,ACCA5504218E094,2024-05-01,1436.52,1500,0.9577,43.1,8.37,36
BALEE8171E2D621,ACCA5504218E094,2024-06-01,1481.47,1500,0.9876,44.44,13.86,34
BALF596BACFBFC0,ACCA5504218E094,2024-07-01,1391.83,1500,0.9279,41.75,14.99,34
BALBBC6973EA262,ACCA5504218E094,2024-08-01,1198.37,1500,0.7989,35.95,16.56,29
BALDBCC7B5A0231,ACCA5504218E094,2024-09-01,1414.41,1500,0.9429,42.43,9.93,25
BAL5BBB708EAFCD,ACCA5504218E094,2024-10-01,1500,1500,1.0,45.0,8.12,35
BALCAA7CA9491FE,ACCA5504218E094,2024-11-01,1500,1500,1.0,45.0,17.87,24
BAL6A1E549D7FAD,ACCA5504218E094,2024-12-01,1329.15,1500,0.8861,39.87,12.3,27
BAL14C6FD8B38AA,ACCA5504218E094,2025-01-01,1500,1500,1.0,45.0,1.75,34
BAL17BF2C24F26B,ACCA5504218E094,2025-02-01,1407.95,1500,0.9386,42.24,10.97,38
BAL96B1801C24DA,ACCA5504218E094,2025-03-01,1400.62,1500,0.9337,42.02,4.06,37
BAL2384E5171E51,ACCA5504218E094,2025-04-01,1500,1500,1.0,45.0,12.83,41
BALEAF472969DEE,ACC27451DE72578,2022-10-01,1828.74,3000,0.6096,54.86,1414.15,0
BAL06B741F93F39,ACC27451DE72578,2022-11-01,1917.02,3000,0.639,57.51,1311.74,0
BAL599C7FF4A417,ACC27451DE72578,2022-12-01,1769.07,3000,0.5897,53.07,1412.93,0
BALA5932C3551BC,ACC27451DE72578,2023-01-01,1844.05,3000,0.6147,55.32,958.08,0
BALE7E0E6B3B50A,ACC27451DE72578,2023-02-01,1944.01,3000,0.648,58.32,1818.65,0
BALB357BBDA8F28,ACC27451DE72578,2023-03-01,2195.25,3000,0.7318,65.86,1237.2,10
BALE222DD479656,ACC27451DE72578,2023-04-01,2201.42,3000,0.7338,66.04,1418.25,0
BAL9D40B5B23AC6,ACC27451DE72578,2023-05-01,2414.5,3000,0.8048,72.44,829.98,0
BAL7F9CFDE8D533,ACC27451DE72578,2023-06-01,2402.03,3000,0.8007,72.06,1354.1,6
BAL8FADD86BC9A9,ACC27451DE72578,2023-07-01,2574.32,3000,0.8581,77.23,976.2,0
BAL56C322AA1561,ACC27451DE72578,2023-08-01,2374.42,3000,0.7915,71.23,151.07,4
BAL3DB8D3CF007E,ACC27451DE72578,2023-09-01,2316.66,3000,0.7722,69.5,106.13,7
BALF478421DF1C4,ACC27451DE72578,2023-10-01,2119.94,3000,0.7066,63.6,2087.85,8
BAL3F8E008CBEB8,ACC27451DE72578,2023-11-01,2027.35,3000,0.6758,60.82,680.09,2
BAL1D7750C3366E,ACC27451DE72578,2023-12-01,2238.52,3000,0.7462,67.16,2062.88,0
BAL5C0F4CC7B690,ACC27451DE72578,2024-01-01,2294.16,3000,0.7647,68.82,1338.75,0
BAL233FFD3D1AEC,ACC27451DE72578,2024-02-01,2324.34,3000,0.7748,69.73,421.69,0
BAL760C883D45FE,ACC27451DE72578,2024-03-01,2256.83,3000,0.7523,67.7,2015.21,0
BAL00CAF759086D,ACC27451DE72578,2024-04-01,2206.98,3000,0.7357,66.21,1287.49,4
BAL160F31D27EAE,ACC27451DE72578,2024-05-01,2291.51,3000,0.7638,68.75,552.06,4
BAL1BF0CD9C3D92,ACC27451DE72578,2024-06-01,2332.78,3000,0.7776,69.98,1174.85,2
BAL014C4944589C,ACC27451DE72578,2024-07-01,2582.29,3000,0.8608,77.47,1837.98,1
BALE73B050CD22E,ACC27451DE72578,2024-08-01,2703.42,3000,0.9011,81.1,179.1,0
BAL73EDC7E7DB57,ACC27451DE72578,2024-09-01,2907.59,3000,0.9692,87.23,1163.33,2
BAL2B94E7B7CC84,ACC27451DE72578,2024-10-01,2874.78,3000,0.9583,86.24,2539.58,0
BAL529E0E94B8FA,ACC27451DE72578,2024-11-01,2891.93,3000,0.964,86.76,2696.26,6
BAL93B52C3D5F22,ACC27451DE72578,2024-12-01,3000,3000,1.0,90.0,2561.98,6
BAL012C8D5511A7,ACC27451DE72578,2025-01-01,3000,3000,1.0,90.0,1934.61,0
BAL1B82C024987C,ACC27451DE72578,2025-02-01,3000,3000,1.0,90.0,1019.21,0
BAL88925DBA386D,ACC27451DE72578,2025-03-01,3000,3000,1.0,90.0,1041.08,0
BALACACF11500FE,ACC27451DE72578,2025-04-01,3000,3000,1.0,90.0,2992.34,0
BAL4933BC5A3665,ACCA93175A2A79D,2022-08-01,3073.15,5000,0.6146,92.19,26.52,69
BAL5C8D01CD2683,ACCA93175A2A79D,2022-09-01,3266.33,5000,0.6533,97.99,7.25,68
BAL14976208C027,ACCA93175A2A79D,2022-10-01,3234.41,5000,0.6469,97.03,23.09,65
BALF4ACDA2AAC1B,ACCA93175A2A79D,2022-11-01,3165.69,5000,0.6331,94.97,18.92,59
BAL3031FB0F88B7,ACCA93175A2A79D,2022-12-01,3182.94,5000,0.6366,95.49,33.32,65
BALC69997387C09,ACCA93175A2A79D,2023-01-01,3081.99,5000,0.6164,92.46,18.28,59
BAL8643D47452A5,ACCA93175A2A79D,2023-02-01,3167.66,5000,0.6335,95.03,26.66,71
BAL532744A8FB2A,ACCA93175A2A79D,2023-03-01,3088.82,5000,0.6178,92.66,12.34,65
BAL8960D56CEFD9,ACCA93175A2A79D,2023-04-01,3103.85,5000,0.6208,93.12,31.88,63
BAL0CDF890DF1C3,ACCA93175A2A79D,2023-05-01,3110.64,5000,0.6221,93.32,17.04,64
BAL697FEB675B4F,ACCA93175A2A79D,2023-06-01,3005.88,5000,0.6012,90.18,15.53,60
BAL84B07EDB76C5,ACCA93175A2A79D,2023-07-01,2890.51,5000,0.5781,86.72,15.16,58
BALDA930462E7B7,ACCA93175A2A79D,2023-08-01,3101.3,5000,0.6203,93.04,37.35,61
BALEF3000D4C091,ACCA93175A2A79D,2023-09-01,3363.41,5000,0.6727,100.9,11.78,61
BAL0BC607FA5ED5,ACCA93175A2A79D,2023-10-01,3506.09,5000,0.7012,105.18,8.2,65
BAL9727A4B22D06,ACCA93175A2A79D,2023-11-01,3675.88,5000,0.7352,110.28,13.4,63
BAL26C760949425,ACCA93175A2A79D,2023-12-01,3786.38,5000,0.7573,113.59,8.39,67
BAL77212B9F9789,ACCA93175A2A79D,2024-01-01,3758.02,5000,0.7516,112.74,45.34,61
BALBE5A6942BBF1,ACCA93175A2A79D,2024-02-01,3710.58,5000,0.7421,111.32,26.23,61
BAL7A83F4F76017,ACCA93175A2A79D,2024-03-01,3616.52,5000,0.7233,108.5,29.64,72
BAL596C96D34DEE,ACCA93175A2A79D,2024-04-01,3791.7,5000,0.7583,113.75,31.21,54
BAL8474C0F2A624,ACCA93175A2A79D,2024-05-01,3939.24,5000,0.7878,118.18,39.49,54
BAL20CB4A1E7933,ACCA93175A2A79D,2024-06-01,3927.54,5000,0.7855,117.83,53.38,61
BALA4FC55A31091,ACCA93175A2A79D,2024-07-01,3757.6,5000,0.7515,112.73,11.31,64
BAL4E1F52C69E05,ACCA93175A2A79D,2024-08-01,3905.86,5000,0.7812,117.18,15.89,53
BALD6451BE47BA9,ACCA93175A2A79D,2024-09-01,3739.16,5000,0.7478,112.17,37.04,68
BALB92D52EA8464,ACCA93175A2A79D,2024-10-01,3870.65,5000,0.7741,116.12,53.0,63
BALB7BF9E7E91F3,ACCA93175A2A79D,2024-11-01,3816.9,5000,0.7634,114.51,50.58,67
BAL1B82A355EA7E,ACCA93175A2A79D,2024-12-01,3810.16,5000,0.762,114.3,56.0,57
BAL1A0DA97A1FC8,ACCA93175A2A79D,2025-01-01,4062.1,5000,0.8124,121.86,29.53,65
BALCD22D7ACD429,ACCA93175A2A79D,2025-02-01,4160.65,5000,0.8321,124.82,5.49,69
BAL876E322B4FEF,ACCA93175A2A79D,2025-03-01,4240.99,5000,0.8482,127.23,45.32,77
BAL317CCC1F7A2C,ACCA93175A2A79D,2025-04-01,4060.87,5000,0.8122,121.83,56.18,63
BAL2A2C6F8FA6BB,ACC0C41C9D4C33B,2022-09-01,191.34,3000,0.0638,25,138.83,5
BALD16F58D9653A,ACC0C41C9D4C33B,2022-10-01,169.03,3000,0.0563,25,68.54,14
BAL04FC571515D9,ACC0C41C9D4C33B,2022-11-01,106.97,3000,0.0357,25,30.08,0
BAL7B3D05EBD233,ACC0C41C9D4C33B,2022-12-01,35.81,3000,0.0119,25,29.19,15
BALAF3BB032EC5E,ACC0C41C9D4C33B,2023-01-01,307.88,3000,0.1026,25,293.49,0
BAL5D039AC52A16,ACC0C41C9D4C33B,2023-02-01,220.67,3000,0.0736,25,91.88,0
BAL452B93E640C0,ACC0C41C9D4C33B,2023-03-01,385.61,3000,0.1285,25,212.78,2
BALACD8ED9832B6,ACC0C41C9D4C33B,2023-04-01,524.61,3000,0.1749,25,461.01,0
BALB7A9DF24FC4C,ACC0C41C9D4C33B,2023-05-01,611.06,3000,0.2037,25,274.93,0
BAL4C92B07A066B,ACC0C41C9D4C33B,2023-06-01,567.25,3000,0.1891,25,353.26,0
BAL2C3980BC52AB,ACC0C41C9D4C33B,2023-07-01,693.49,3000,0.2312,25,413.41,1
BAL6648D34D119E,ACC0C41C9D4C33B,2023-08-01,835.51,3000,0.2785,25.07,189.03,5
BAL6BB65F9520BC,ACC0C41C9D4C33B,2023-09-01,1084.83,3000,0.3616,32.54,989.66,6
BAL917DF114E4CB,ACC0C41C9D4C33B,2023-10-01,1099.86,3000,0.3666,33.0,1002.78,1
BAL4BD53F770BC3,ACC0C41C9D4C33B,2023-11-01,1182.28,3000,0.3941,35.47,216.72,0
BAL5C6E3EA39275,ACC0C41C9D4C33B,2023-12-01,1016.19,3000,0.3387,30.49,555.83,0
BAL46488A7AC17F,ACC0C41C9D4C33B,2024-01-01,1235.95,3000,0.412,37.08,211.54,0
BALA9945B873770,ACC0C41C9D4C33B,2024-02-01,1050.69,3000,0.3502,31.52,356.32,13
BAL1BDD2149B087,ACC0C41C9D4C33B,2024-03-01,1002.36,3000,0.3341,30.07,755.02,0
BAL444BB3634065,ACC0C41C9D4C33B,2024-04-01,1213.21,3000,0.4044,36.4,785.85,0
BALFB10557A1919,ACC0C41C9D4C33B,2024-05-01,1107.18,3000,0.3691,33.22,174.5,0
BAL5C4C857C6E18,ACC0C41C9D4C33B,2024-06-01,920.28,3000,0.3068,27.61,907.74,0
BALF52B178B555F,ACC0C41C9D4C33B,2024-07-01,1026.46,3000,0.3422,30.79,624.57,0
BAL0B6E2372D065,ACC0C41C9D4C33B,2024-08-01,941.92,3000,0.314,28.26,52.09,8
BALF9FA3E22EA13,ACC0C41C9D4C33B,2024-09-01,808.96,3000,0.2697,25,688.34,4
BAL63FD32A01C00,ACC0C41C9D4C33B,2024-10-01,843.34,3000,0.2811,25.3,556.67,2
BAL9365105A5A12,ACC0C41C9D4C33B,2024-11-01,880.26,3000,0.2934,26.41,166.26,5
BAL84C568B8C7E8,ACC0C41C9D4C33B,2024-12-01,793.4,3000,0.2645,25,338.96,11
BALA80EA72B0DFA,ACC0C41C9D4C33B,2025-01-01,1068.5,3000,0.3562,32.05,262.72,0
BAL62A9732888DA,ACC0C41C9D4C33B,2025-02-01,1204.17,3000,0.4014,36.13,273.05,1
BALDBD4D648D2C4,ACC0C41C9D4C33B,2025-03-01,1481.52,3000,0.4938,44.45,675.73,3
BALE98FAC9E027F,ACC0C41C9D4C33B,2025-04-01,1590.05,3000,0.53,47.7,1108.63,7
BAL773042312C09,ACC94ADF28A2216,2024-02-01,948.24,1500,0.6322,28.45,587.62,0
BALC90B896AB8C6,ACC94ADF28A2216,2024-03-01,1160.4,1500,0.7736,34.81,845.46,0
BALBDC9DFEFC121,ACC94ADF28A2216,2024-04-01,1246.37,1500,0.8309,37.39,685.6,7
BALEE41A188B9EC,ACC94ADF28A2216,2024-05-01,1367.07,1500,0.9114,41.01,974.71,2
BALB5F8BB2440BB,ACC94ADF28A2216,2024-06-01,1395.52,1500,0.9303,41.87,1230.06,1
BAL41C0D876CCE3,ACC94ADF28A2216,2024-07-01,1500,1500,1.0,45.0,402.53,0
BAL5546DD2321E1,ACC94ADF28A2216,2024-08-01,1319.63,1500,0.8798,39.59,535.47,0
BALA72719A95B35,ACC94ADF28A2216,2024-09-01,1500,1500,1.0,45.0,1445.57,2
BALD927B3AB2FFE,ACC94ADF28A2216,2024-10-01,1500,1500,1.0,45.0,1170.7,5
BAL84267F2F9FC7,ACC94ADF28A2216,2024-11-01,1442.96,1500,0.962,43.29,276.32,0
BAL3C322DB13808,ACC94ADF28A2216,2024-12-01,1500,1500,1.0,45.0,1359.85,11
BALFCECF635AB85,ACC94ADF28A2216,2025-01-01,1500,1500,1.0,45.0,985.08,5
BALB89BB79A202F,ACC94ADF28A2216,2025-02-01,1389.89,1500,0.9266,41.7,830.99,3
BAL1EDD7E641CED,ACC94ADF28A2216,2025-03-01,1500,1500,1.0,45.0,840.02,0
BAL8EA30EBC17DE,ACC94ADF28A2216,2025-04-01,1312.46,1500,0.875,39.37,616.95,3
BALEC45156E7129,ACCC02932D968CD,2022-12-01,3609.23,5000,0.7218,108.28,47.78,69
BAL10BE50716E11,ACCC02932D968CD,2023-01-01,3733.52,5000,0.7467,112.01,39.85,67
BAL4F9D0C490CD0,ACCC02932D968CD,2023-02-01,3615.52,5000,0.7231,108.47,39.77,72
BALB0C0D225EA28,ACCC02932D968CD,2023-03-01,3732.56,5000,0.7465,111.98,4.78,69
BALBD9A0DC551B6,ACCC02932D968CD,2023-04-01,3886.2,5000,0.7772,116.59,42.37,72
BAL62F65C50C5A6,ACCC02932D968CD,2023-05-01,3766.15,5000,0.7532,112.98,31.09,64
BALB6784796E2B7,ACCC02932D968CD,2023-06-01,3588.1,5000,0.7176,107.64,9.2,60
BALF74B32C3F8AC,ACCC02932D968CD,2023-07-01,3819.44,5000,0.7639,114.58,9.29,74
BAL59AB404F09BE,ACCC02932D968CD,2023-08-01,3691.74,5000,0.7383,110.75,42.59,69
BALF78AB9775713,ACCC02932D968CD,2023-09-01,3856.82,5000,0.7714,115.7,55.59,66
BAL5DD6ADD6B9F7,ACCC02932D968CD,2023-10-01,3801.21,5000,0.7602,114.04,10.3,75
BALE8F32DFE545D,ACCC02932D968CD,2023-11-01,3602.98,5000,0.7206,108.09,41.37,57
BAL041296C0E03C,ACCC02932D968CD,2023-12-01,3409.08,5000,0.6818,102.27,25.45,56
BAL7CA9FC613595,ACCC02932D968CD,2024-01-01,3513.07,5000,0.7026,105.39,26.0,65
BAL8F28ACDCA894,ACCC02932D968CD,2024-02-01,3421.51,5000,0.6843,102.65,33.85,60
BAL578A11059675,ACCC02932D968CD,2024-03-01,3522.12,5000,0.7044,105.66,0.35,67
BAL368F4252BA88,ACCC02932D968CD,2024-04-01,3763.2,5000,0.7526,112.9,15.7,59
BALC8FAC0965DE1,ACCC02932D968CD,2024-05-01,3667.02,5000,0.7334,110.01,10.17,58
BALD73A09ABDAF6,ACCC02932D968CD,2024-06-01,3494.55,5000,0.6989,104.84,18.3,66
BALE718D2D51FF1,ACCC02932D968CD,2024-07-01,3583.6,5000,0.7167,107.51,32.43,66
BAL6EA8D67652FA,ACCC02932D968CD,2024-08-01,3549.16,5000,0.7098,106.47,4.67,77
BAL29352E9AE7DC,ACCC02932D968CD,2024-09-01,3429.83,5000,0.686,102.89,14.63,75
BALF23A9CF8840D,ACCC02932D968CD,2024-10-01,3560.29,5000,0.7121,106.81,37.38,59
BALD09FE904802A,ACCC02932D968CD,2024-11-01,3843.44,5000,0.7687,115.3,43.2,62
BAL69AE12C02447,ACCC02932D968CD,2024-12-01,3823.53,5000,0.7647,114.71,2.06,66
BAL23923A059810,ACCC02932D968CD,2025-01-01,4072.29,5000,0.8145,122.17,50.11,61
BAL82C64F59974E,ACCC02932D968CD,2025-02-01,4251.51,5000,0.8503,127.55,53.78,70
BALC686E2C17B94,ACCC02932D968CD,2025-03-01,4112.52,5000,0.8225,123.38,53.02,67
BALF48D3DC6717F,ACCC02932D968CD,2025-04-01,4077.12,5000,0.8154,122.31,25.3,66
BAL704B1A2CDA69,ACC6CFD16EEEF15,2022-05-01,2392.63,5000,0.4785,71.78,35.15,38
BAL53E970E9F886,ACC6CFD16EEEF15,2022-06-01,2457.1,5000,0.4914,73.71,3.23,34
BALE9D5110E0E36,ACC6CFD16EEEF15,2022-07-01,2651.19,5000,0.5302,79.54,28.11,28
BALF6F124D56769,ACC6CFD16EEEF15,2022-08-01,2664.72,5000,0.5329,79.94,33.89,35
BAL600AB38DF390,ACC6CFD16EEEF15,2022-09-01,2776.34,5000,0.5553,83.29,38.61,42
BALFE953E232790,ACC6CFD16EEEF15,2022-10-01,2883.48,5000,0.5767,86.5,21.47,34
BAL36C4FC66C5D0,ACC6CFD16EEEF15,2022-11-01,3087.47,5000,0.6175,92.62,40.92,29
BAL8F06218347D5,ACC6CFD16EEEF15,2022-12-01,3003.83,5000,0.6008,90.11,13.09,36
BALF8551F355B46,ACC6CFD16EEEF15,2023-01-01,3036.27,5000,0.6073,91.09,36.29,37
BAL5D764B46133D,ACC6CFD16EEEF15,2023-02-01,3205.0,5000,0.641,96.15,9.97,31
BAL105FCB46192B,ACC6CFD16EEEF15,2023-03-01,3027.75,5000,0.6056,90.83,15.88,32
BAL617AF10B0307,ACC6CFD16EEEF15,2023-04-01,3230.77,5000,0.6462,96.92,10.29,30
BAL547A8A594947,ACC6CFD16EEEF15,2023-05-01,3157.98,5000,0.6316,94.74,3.21,29
BALE58725DFB42C,ACC6CFD16EEEF15,2023-06-01,3108.12,5000,0.6216,93.24,25.64,35
BAL54F3838BC793,ACC6CFD16EEEF15,2023-07-01,3074.76,5000,0.615,92.24,18.27,33
BAL30C6C7DE94FC,ACC6CFD16EEEF15,2023-08-01,3159.22,5000,0.6318,94.78,45.5,37
BAL0996809D9AAE,ACC6CFD16EEEF15,2023-09-01,3376.13,5000,0.6752,101.28,46.7,32
BAL650A76E8CF58,ACC6CFD16EEEF15,2023-10-01,3415.68,5000,0.6831,102.47,24.31,38
BAL12C9DEA0589A,ACC6CFD16EEEF15,2023-11-01,3293.37,5000,0.6587,98.8,22.75,36
BAL011863DB7F01,ACC6CFD16EEEF15,2023-12-01,3525.98,5000,0.7052,105.78,47.39,26
BALA1D44ABB19B0,ACC6CFD16EEEF15,2024-01-01,3789.87,5000,0.758,113.7,3.18,37
BALB34FD086E9D9,ACC6CFD16EEEF15,2024-02-01,3850.41,5000,0.7701,115.51,32.63,32
BAL944D852C5134,ACC6CFD16EEEF15,2024-03-01,3659.77,5000,0.732,109.79,31.7,29
BALDCA6BF8625D0,ACC6CFD16EEEF15,2024-04-01,3625.63,5000,0.7251,108.77,49.83,36
BALD1A2AAF13003,ACC6CFD16EEEF15,2024-05-01,3500.28,5000,0.7001,105.01,44.14,33
BALF3DB659070AA,ACC6CFD16EEEF15,2024-06-01,3469.86,5000,0.694,104.1,19.53,32
BALD9B7A2EA01CA,ACC6CFD16EEEF15,2024-07-01,3572.7,5000,0.7145,107.18,10.04,34
BALF7A0EEBFC0BC,ACC6CFD16EEEF15,2024-08-01,3431.12,5000,0.6862,102.93,40.26,31
BALE22119B8E3C7,ACC6CFD16EEEF15,2024-09-01,3586.04,5000,0.7172,107.58,14.6,44
BALFA3C322F8BFB,ACC6CFD16EEEF15,2024-10-01,3429.44,5000,0.6859,102.88,45.12,28
