payment_id,account_id,payment_date,payment_amount_cad,payment_method,payment_status
PAY2D34D3BEB48C,ACC99EA03B346CB,2025-03-19,440.53,manual,settled
PAY846B6BD103A0,ACC99EA03B346CB,2024-12-30,364.92,eft,settled
PAYB602918E52CA,ACC99EA03B346CB,2024-12-21,78.63,interac,settled
PAY7FE991181557,ACC99EA03B346CB,2024-04-03,233.16,pad,settled
PAY93E3F288C3EC,ACC99EA03B346CB,2024-04-13,166.93,interac,settled
PAYFE8DC2970D66,ACC99EA03B346CB,2024-07-04,156.33,pad,settled
PAY06FCF1882148,ACCA5504218E094,2022-10-15,469.41,pad,settled
PAYC0DF631677BD,ACCA5504218E094,2024-07-22,109.03,manual,settled
PAYE1F0A08E0206,ACC27451DE72578,2024-10-22,118.11,pad,settled
PAYE05A6B9A701F,ACC27451DE72578,2024-11-16,112.86,manual,settled
PAY8D2E8135A523,ACC27451DE72578,2024-02-13,459.95,interac,settled
PAY62FCC1D802B9,ACC27451DE72578,2024-08-14,295.97,interac,settled
PAY68801C4A9CBE,ACC27451DE72578,2024-12-11,165.94,manual,settled
PAY5E7192DF1D29,ACC27451DE72578,2023-07-25,406.65,interac,pending
PAYD3CA9B8EE502,ACC27451DE72578,2023-04-08,421.67,eft,settled
PAYA4D975158207,ACC27451DE72578,2024-06-07,177.89,manual,settled
PAY352448F3C225,ACC27451DE72578,2023-01-20,256.41,interac,settled
PAYC38921E8805F,ACC27451DE72578,2024-02-03,293.98,eft,settled
PAY61D16A65BCB8,ACC27451DE72578,2022-12-24,355.16,pad,settled
PAY110623040460,ACC27451DE72578,2023-12-11,57.37,eft,settled
PAY897DF4CA37F3,ACC27451DE72578,2023-10-24,81.1,eft,settled
PAY74A906A0D321,ACC27451DE72578,2025-02-14,191.77,interac,settled
PAY99C3B3D2D8BE,ACC27451DE72578,2024-09-16,213.97,eft,settled
PAY89D50CD6B297,ACC27451DE72578,2024-10-20,322.27,eft,settled
PAYB0BA824F204A,ACC27451DE72578,2022-11-03,189.56,pad,settled
PAY7F513B80A249,ACC27451DE72578,2022-11-01,406.97,pad,settled
PAY7B67616512CE,ACC27451DE72578,2022-12-22,188.58,manual,settled
PAY5680DE64CD48,ACC27451DE72578,2022-11-19,473.93,pad,settled
PAY99F9F3118375,ACC27451DE72578,2023-03-17,261.02,manual,settled
PAYFA6EDC527DD0,ACC27451DE72578,2025-03-31,454.93,interac,settled
PAY33A16F3FAC6A,ACC27451DE72578,2023-02-01,239.23,interac,settled
PAYB4A57ED5CBED,ACCA93175A2A79D,2023-04-05,293.11,eft,settled
PAY46170062B1FE,ACCA93175A2A79D,2023-12-14,38.89,interac,settled
PAY5831027C744F,ACCA93175A2A79D,2024-08-25,211.4,eft,pending
PAY378CD9C02EF8,ACCA93175A2A79D,2024-07-12,241.79,eft,settled
PAY4A0557C4F0B0,ACCA93175A2A79D,2023-04-09,97.51,pad,settled
PAY269A2E534257,ACCA93175A2A79D,2024-05-14,116.82,interac,settled
PAY279CF34D8780,ACCA93175A2A79D,2023-12-20,448.3,manual,returned
PAY1AF7888724BF,ACCA93175A2A79D,2023-11-04,258.48,pad,returned
PAY46F3DD8F3BF8,ACC0C41C9D4C33B,2025-02-17,284.01,interac,settled
PAY54312375CD30,ACC0C41C9D4C33B,2023-06-25,80.46,pad,settled
PAY40A0B2482A31,ACC0C41C9D4C33B,2023-02-21,223.82,eft,returned
PAYA724F640B07B,ACC0C41C9D4C33B,2023-12-10,195.53,pad,settled
PAY6898BFB08EF7,ACC0C41C9D4C33B,2023-09-02,276.59,manual,settled
PAY476D52CDB31B,ACC0C41C9D4C33B,2023-10-23,415.25,pad,settled
PAY95A41A7E7315,ACC0C41C9D4C33B,2024-08-27,301.34,pad,settled
PAY5BC0A8C39A29,ACC0C41C9D4C33B,2024-04-18,139.99,manual,settled
PAY8C643F69DDE3,ACC0C41C9D4C33B,2023-01-23,427.54,pad,settled
PAYDB039873B1CE,ACC0C41C9D4C33B,2023-09-04,93.59,manual,pending
PAY11B4E51763BE,ACC0C41C9D4C33B,2023-04-15,179.96,eft,settled
PAY7F55A5B42B99,ACC0C41C9D4C33B,2024-01-20,276.89,interac,settled
PAYDA75CC8B59DF,ACC0C41C9D4C33B,2024-06-18,57.28,pad,settled
PAY40275EBB8712,ACC0C41C9D4C33B,2024-01-17,340.94,manual,settled
PAYCCA8BDB182AF,ACC94ADF28A2216,2025-03-22,118.5,manual,settled
PAY70A90ACAE582,ACC94ADF28A2216,2024-03-28,478.16,eft,settled
PAY2CE5A50BD13B,ACC94ADF28A2216,2024-11-12,280.02,interac,settled
PAY050EC2D7DA48,ACC94ADF28A2216,2024-12-05,475.75,eft,settled
PAY269773B8A859,ACC94ADF28A2216,2025-01-24,281.2,manual,settled
PAY810E61DD45C1,ACC94ADF28A2216,2025-02-17,396.8,interac,pending
PAY85676D623827,ACC94ADF28A2216,2024-08-05,350.87,eft,settled
PAY63F178B82A45,ACC94ADF28A2216,2024-08-02,248.57,pad,settled
PAYEA5A86D49721,ACC94ADF28A2216,2024-05-01,415.89,manual,settled
PAY6659B9809D53,ACC94ADF28A2216,2025-03-19,218.31,eft,settled
PAY8DE3362FA959,ACC94ADF28A2216,2024-09-12,432.34,eft,settled
PAY39FF2F17C71A,ACC94ADF28A2216,2024-04-01,88.0,pad,returned
PAY4B8C1630FABF,ACC94ADF28A2216,2025-01-29,432.86,interac,settled
PAYEAE3724B3C21,ACC94ADF28A2216,2024-10-31,329.78,manual,settled
PAY208C4775ADCC,ACC94ADF28A2216,2024-11-16,380.65,manual,settled
PAY1D94672499AE,ACCC02932D968CD,2023-10-19,399.22,pad,settled
PAY5214ACCF144D,ACCC02932D968CD,2024-01-24,408.69,eft,settled
PAYB32A76812EAE,ACCC02932D968CD,2025-02-27,388.97,pad,settled
PAYE22641725097,ACCC02932D968CD,2024-08-20,222.02,eft,settled
PAY959A7C5F8130,ACCC02932D968CD,2025-03-14,351.67,pad,settled
PAYE3466FA3287A,ACCC02932D968CD,2023-05-18,112.39,pad,settled
PAYBC5EC59D6FC4,ACC6CFD16EEEF15,2023-10-21,497.57,pad,settled
PAY7A61F9411BD3,ACC6CFD16EEEF15,2024-05-09,366.17,manual,pending
PAYD317D9E85EBB,ACC40EEFE29D55D,2024-08-03,79.5,interac,settled
PAYAA457D9915D4,ACC40EEFE29D55D,2024-03-16,100.58,manual,settled
PAY939732AF21F1,ACC40EEFE29D55D,2023-12-07,126.8,eft,settled
PAY4D4EB0B3D1E6,ACC40EEFE29D55D,2023-11-14,92.98,pad,settled
PAY23976965175E,ACC40EEFE29D55D,2023-11-05,40.14,pad,settled
PAY83A270FDBC96,ACC40EEFE29D55D,2024-08-01,412.38,pad,settled
PAYB8F293535A59,ACC40EEFE29D55D,2025-01-23,142.13,interac,settled
PAY8081A0AA2428,ACC40EEFE29D55D,2024-03-16,133.72,eft,settled
PAYFDCB7DD73B6E,ACC829EF3F8E5CF,2023-10-28,286.15,interac,settled
PAY747F9B5D145C,ACC829EF3F8E5CF,2024-05-16,321.25,interac,settled
PAY8EF75833D2E6,ACC829EF3F8E5CF,2025-01-28,329.54,pad,settled
PAYCE82EEAF773E,ACC829EF3F8E5CF,2025-01-31,411.17,manual,settled
PAY64DB6C324C10,ACC829EF3F8E5CF,2024-11-28,448.96,pad,settled
PAYC0DC1F8C3BD5,ACC829EF3F8E5CF,2024-11-01,92.3,eft,returned
PAY99327213EE12,ACC829EF3F8E5CF,2024-03-03,246.46,interac,settled
PAY8ED1520AC69C,ACC829EF3F8E5CF,2024-06-23,211.38,pad,settled
PAYE43ACEFB4B4C,ACC829EF3F8E5CF,2025-02-26,489.29,eft,settled
PAY9B51B95FC9B9,ACC829EF3F8E5CF,2024-09-13,214.64,eft,settled
PAYC0836DB2E2B3,ACC829EF3F8E5CF,2024-12-12,274.12,eft,settled
PAY5821556EB51F,ACC829EF3F8E5CF,2024-01-19,462.91,manual,settled
PAY6C44183B0FDD,ACC829EF3F8E5CF,2024-07-26,263.47,manual,settled
PAY2B89D5C02B2B,ACC829EF3F8E5CF,2024-05-22,152.26,pad,settled
PAY5782B1D4729F,ACC829EF3F8E5CF,2024-04-26,64.0,pad,settled
PAYAA201725E344,ACC829EF3F8E5CF,2023-10-04,300.13,interac,settled
PAYDD189303A596,ACC829EF3F8E5CF,2024-04-29,350.6,eft,settled
PAY040037198D71,ACC829EF3F8E5CF,2023-11-24,350.58,interac,settled
PAY64847CE6D296,ACC829EF3F8E5CF,2024-02-24,479.84,eft,settled
PAYFA2D5F9C9D3E,ACC829EF3F8E5CF,2023-11-28,494.17,pad,settled
PAYB8FBA01EC595,ACC829EF3F8E5CF,2024-09-17,267.07,eft,settled
PAY0E8191F9E93C,ACC829EF3F8E5CF,2023-12-10,364.66,pad,settled
PAY24EF11983D67,ACC829EF3F8E5CF,2024-04-13,257.06,eft,settled
PAY3C4FEBE553D9,ACC36EBD938C27C,2025-02-09,251.15,eft,settled
PAYE08529709F5A,ACC36EBD938C27C,2023-11-04,122.68,interac,pending
PAYA043614B7688,ACC36EBD938C27C,2024-12-02,37.63,interac,settled
PAY7592459370AC,ACC36EBD938C27C,2025-01-05,267.0,pad,settled
PAY043E400B117C,ACC36EBD938C27C,2024-11-27,247.16,pad,returned
PAYD508989E91DD,ACC36EBD938C27C,2024-07-31,225.55,interac,settled
PAY73E65E92469E,ACC36EBD938C27C,2023-11-20,413.09,interac,settled
PAYA33E272D924B,ACC36EBD938C27C,2024-05-12,283.76,pad,settled
PAYDD080365E14D,ACC36EBD938C27C,2024-05-23,237.13,manual,pending
PAY553F817E9F4F,ACC36EBD938C27C,2025-01-22,137.16,pad,settled
PAY1183508B2560,ACC36EBD938C27C,2025-03-21,107.66,manual,returned
PAYB263DC9F1607,ACC36EBD938C27C,2024-06-28,386.98,manual,settled
PAY42F5AD62A67E,ACC36EBD938C27C,2024-02-06,153.93,eft,returned
PAY991C1E2F32CA,ACC36EBD938C27C,2023-12-08,95.9,pad,returned
PAYDED18CCBC941,ACC36EBD938C27C,2025-02-12,316.39,interac,settled
PAY3CAB783B7C73,ACC36EBD938C27C,2024-03-08,352.43,eft,settled
PAY057B368BA030,ACCDA37E1729C3E,2024-05-23,77.76,pad,settled
PAY882235E37122,ACCDA37E1729C3E,2024-10-19,239.0,eft,settled
PAYFADDC3D81CDA,ACCDA37E1729C3E,2024-03-01,424.78,pad,settled
PAYE1711A9E8C1D,ACCDA37E1729C3E,2024-08-09,167.71,manual,settled
PAYB6948D92BF9F,ACCDA37E1729C3E,2024-11-14,57.97,interac,settled
PAYFC5FACCD22C8,ACCDB82917D8901,2024-11-27,405.2,manual,settled
PAY4DBB569F00A9,ACCDB82917D8901,2024-05-20,87.0,interac,settled
PAY15B5574F9BFE,ACCDB82917D8901,2024-09-27,175.71,manual,returned
PAYBFE03FBD5B6C,ACCDB82917D8901,2025-02-15,474.22,manual,settled
PAY80FD7B66D522,ACCDB82917D8901,2024-11-05,268.94,eft,settled
PAYCDAB59FDC4C9,ACC04BDEB161E55,2022-05-21,116.38,pad,settled
PAY140C0A4DABB4,ACC04BDEB161E55,2024-03-28,264.13,manual,settled
PAYA72FEE9A4F75,ACC04BDEB161E55,2023-05-16,348.6,manual,settled
PAYAB49D326E381,ACC04BDEB161E55,2023-05-10,258.17,eft,settled
PAYFC4DD8219D02,ACC04BDEB161E55,2024-06-26,170.21,eft,settled
PAY34178D7E36B4,ACC04BDEB161E55,2023-04-11,136.78,manual,settled
PAY46B3E8DEC305,ACC04BDEB161E55,2025-03-14,478.33,eft,settled
PAY48BE99896037,ACC04BDEB161E55,2024-09-28,488.53,pad,settled
PAYA9D722081F6E,ACC04BDEB161E55,2025-01-26,44.88,pad,settled
PAY8FE1C86D6B5F,ACC04BDEB161E55,2022-04-27,370.87,eft,settled
PAYC8DCBD3122FE,ACC04BDEB161E55,2024-07-28,339.94,pad,settled
PAY8A8662893AF1,ACC04BDEB161E55,2023-08-25,189.11,interac,settled
PAYA64743AD3A17,ACC04BDEB161E55,2024-03-04,399.4,interac,settled
PAYCC8BF192A6C4,ACC04BDEB161E55,2022-09-27,434.47,manual,settled
PAY4C8F39401FF9,ACC04BDEB161E55,2022-07-21,481.25,eft,settled
PAYEED41F014F03,ACC04BDEB161E55,2023-02-02,109.92,eft,settled
PAYBBE65CAF86DC,ACC04BDEB161E55,2023-01-15,381.15,eft,settled
PAY4844B707E677,ACC04BDEB161E55,2023-08-16,298.53,pad,settled
PAYD9246FB20E10,ACC04BDEB161E55,2022-07-31,276.34,eft,settled
PAY5AA5EDD98904,ACC04BDEB161E55,2024-06-14,58.67,manual,settled
PAY316A7956A41C,ACC62DB8899AAED,2024-06-26,248.33,interac,settled
PAY8900FA9EF61F,ACC62DB8899AAED,2024-09-26,416.61,eft,settled
PAYE2F3F91821BF,ACC62DB8899AAED,2024-10-07,115.94,eft,settled
PAYCFCFBF3FC445,ACC62DB8899AAED,2024-09-02,178.99,manual,settled
PAYC7DFE6C58C8A,ACC6A07D4193E07,2025-03-22,198.41,manual,settled
PAY3554E16E066D,ACC6A07D4193E07,2024-04-29,245.8,interac,settled
PAYDBD6C43033AC,ACC6A07D4193E07,2023-11-14,138.35,pad,settled
PAY57FB0989D9B5,ACC6A07D4193E07,2024-09-01,452.36,pad,settled
PAY76A52E649662,ACC6A07D4193E07,2024-05-16,85.16,manual,settled
PAYFA785DFC7AB1,ACC6A07D4193E07,2023-12-26,468.26,pad,settled
PAY5C6AE8B11A09,ACC6A07D4193E07,2024-08-01,459.57,manual,settled
PAYA700AF104C77,ACC6A07D4193E07,2024-07-14,394.51,pad,settled
PAYEC68D28CE698,ACC6A07D4193E07,2024-08-26,206.26,manual,settled
PAYFEA3A1A2D1A8,ACC6A07D4193E07,2024-12-04,392.29,pad,settled
PAY72BBE37A4DB7,ACC6A07D4193E07,2024-02-24,157.08,pad,settled
PAYD7C899F650A9,ACC6A07D4193E07,2023-10-30,468.91,eft,settled
PAY21112C60DE34,ACC6A07D4193E07,2024-02-14,125.57,manual,settled
PAYAA4EC9E0C782,ACC6A07D4193E07,2025-01-25,267.53,manual,settled
PAY3969000469A5,ACC6A07D4193E07,2023-11-11,385.01,interac,settled
PAY20FFEA2FA67B,ACC6A07D4193E07,2024-04-24,115.48,interac,settled
PAYF7CF413F5209,ACC6A07D4193E07,2024-06-09,131.02,manual,settled
PAY680A1F059AB3,ACC6A07D4193E07,2024-04-10,330.04,interac,settled
PAY0C1447ABC93A,ACC6A07D4193E07,2024-05-26,367.32,pad,settled
PAYC6A3E6BEE4C9,ACC6A07D4193E07,2024-02-20,187.6,eft,settled
PAY75A7F69E139D,ACC6A07D4193E07,2024-12-12,200.31,manual,pending
PAYE76992D22442,ACC6A07D4193E07,2025-01-14,62.29,eft,settled
PAY39411E21364F,ACC251C5C401BE1,2025-01-09,65.99,eft,settled
PAY706829CF0F1A,ACC251C5C401BE1,2024-06-01,102.27,pad,settled
PAY0D94E1B0869F,ACC251C5C401BE1,2024-01-07,321.0,interac,pending
PAYF3E68ECECB42,ACC251C5C401BE1,2024-10-09,340.74,eft,settled
PAYC77D767D246F,ACC251C5C401BE1,2023-09-16,212.51,manual,pending
PAY57AFC6C60A35,ACC251C5C401BE1,2023-12-24,65.94,pad,pending
PAYD0B9F530FF51,ACC251C5C401BE1,2024-04-27,325.85,eft,settled
PAY372076DA4DAC,ACC251C5C401BE1,2024-10-04,253.44,manual,settled
PAY740073EBCAAB,ACC251C5C401BE1,2024-08-21,181.03,interac,settled
PAY851C2B57537B,ACC251C5C401BE1,2023-12-22,374.31,interac,returned
PAYB5A2223732C4,ACC251C5C401BE1,2024-09-21,50.75,pad,settled
PAY8482AF93070D,ACC251C5C401BE1,2024-06-08,279.6,pad,settled
PAY1E21392091B3,ACC251C5C401BE1,2025-03-21,119.07,eft,settled
PAYF4B79420F176,ACCCC4498BC3C9E,2024-03-20,429.99,pad,settled
PAYA4006C8E07E8,ACCCC4498BC3C9E,2024-01-06,101.4,manual,settled
PAYCB2346CAE5B0,ACCCC4498BC3C9E,2024-04-14,240.45,eft,settled
PAY55931324C38A,ACCCC4498BC3C9E,2024-08-21,143.56,manual,settled
PAY328F818C6692,ACCCC4498BC3C9E,2023-07-27,47.43,pad,settled
PAY04AF63AE39B6,ACCCC4498BC3C9E,2023-07-04,189.35,manual,settled
PAYC2C75E3BA3B4,ACCCC4498BC3C9E,2024-09-15,299.36,eft,settled
PAY3B25BE92E5DB,ACCCC4498BC3C9E,2024-11-16,99.0,manual,settled
PAY924D1268A487,ACCCC4498BC3C9E,2025-03-13,253.24,pad,settled
PAYC7370233D46F,ACCCC4498BC3C9E,2025-01-21,312.6,eft,settled
PAY65BB585E3C4D,ACCCC4498BC3C9E,2023-06-11,167.82,manual,settled
PAYCBA7E76019D2,ACCCC4498BC3C9E,2024-06-20,30.08,pad,settled
PAY3F92412625A4,ACCCC4498BC3C9E,2023-08-30,65.35,interac,settled
PAY64E83BB79D75,ACC414CEADBD73A,2025-01-31,66.3,eft,pending
PAY883972370768,ACC414CEADBD73A,2023-07-17,263.76,pad,settled
PAYFEF161AA49F7,ACC414CEADBD73A,2024-03-28,409.22,eft,settled
PAY27E0CDF0F281,ACC414CEADBD73A,2023-07-26,131.03,interac,settled
PAYA1C10E39A30B,ACC414CEADBD73A,2023-03-21,78.62,pad,settled
PAYA2970FA2EFDD,ACC414CEADBD73A,2023-01-15,263.26,manual,pending
PAYBF8468CEB6AE,ACC4114D16299C3,2024-02-27,350.87,eft,settled
PAYD41CECF76A8A,ACCC01EB869C5C6,2024-07-03,212.48,manual,settled
PAYC4B92D0BB092,ACCC01EB869C5C6,2025-03-21,175.65,pad,settled
PAY21B5E5347AB9,ACCC01EB869C5C6,2023-10-06,469.74,interac,settled
PAY8681F000C33F,ACCC01EB869C5C6,2023-11-10,409.38,interac,settled
PAY25F8D1D9E923,ACCC01EB869C5C6,2023-08-27,276.14,interac,settled
PAYAAC39D538B30,ACCC01EB869C5C6,2023-03-31,404.89,pad,settled
PAYD9675C7922EC,ACCC01EB869C5C6,2024-07-20,358.85,manual,settled
PAYB13D0F95B592,ACCC01EB869C5C6,2024-06-12,493.27,interac,settled
PAY0F78CAB0E722,ACCC01EB869C5C6,2023-07-03,318.13,eft,settled
PAYE7EE6141C3FC,ACCC01EB869C5C6,2023-09-01,425.34,pad,pending
PAYC56FB43CECA0,ACCC01EB869C5C6,2024-03-22,139.0,eft,returned
PAY41556129937C,ACCC01EB869C5C6,2025-01-10,383.16,interac,settled
PAYE0B95730073B,ACC0A16DA144BC7,2024-02-07,426.69,manual,settled
PAY4EB82C4845FC,ACC0A16DA144BC7,2023-06-03,162.06,manual,settled
PAYDB3BBA6134B5,ACC0A16DA144BC7,2024-10-03,322.5,interac,settled
PAY376AA3A06A2A,ACC0A16DA144BC7,2024-03-28,62.52,eft,settled
PAY104C56466801,ACC0A16DA144BC7,2024-02-29,65.86,manual,settled
PAYD7377921555D,ACC0A16DA144BC7,2023-02-05,81.62,interac,settled
PAYFFD98BC6F551,ACC0A16DA144BC7,2023-04-28,50.3,manual,settled
PAYC560F1CE15F5,ACCD6BB7F68EF98,2024-03-23,261.6,pad,settled
PAY5A6E0B4E15E7,ACCD6BB7F68EF98,2024-07-01,75.11,eft,settled
PAY739274A60785,ACCD6BB7F68EF98,2025-01-11,276.02,eft,settled
PAYDD9EE79B58F3,ACCD6BB7F68EF98,2024-03-04,382.04,eft,settled
PAY4428E7738498,ACCD6BB7F68EF98,2024-03-20,420.92,interac,settled
PAYB5EDEF14950D,ACCD6BB7F68EF98,2024-07-09,416.66,eft,settled
PAY8C6E3289C199,ACCD6BB7F68EF98,2024-02-23,62.85,interac,settled
PAY8ECCE0DD75D0,ACCD6BB7F68EF98,2025-03-19,330.21,interac,settled
PAY84E711AC387C,ACCD6BB7F68EF98,2025-01-22,327.21,eft,settled
PAY53691E19B42C,ACCD6BB7F68EF98,2024-10-14,389.73,interac,settled
PAYE560820CBDC0,ACCD6BB7F68EF98,2024-06-25,331.42,manual,pending
PAY56900814D43F,ACCD6BB7F68EF98,2024-08-02,204.27,pad,settled
PAYFC820F2D5EAB,ACCD6BB7F68EF98,2024-12-08,447.51,pad,returned
PAY4C20C22AF4CC,ACCD6BB7F68EF98,2025-01-09,284.03,interac,settled
PAYC8E7926FC275,ACCD6BB7F68EF98,2024-09-09,473.41,manual,settled
PAY223DF49F0388,ACC0B7493A82DE6,2024-12-30,482.28,eft,settled
PAY73E514197938,ACC0B7493A82DE6,2024-10-05,377.51,eft,settled
PAY3DE402F477BC,ACC0B7493A82DE6,2025-02-03,344.82,eft,settled
PAY35CBD2357E34,ACC3DF396B82A4E,2024-06-19,472.98,interac,settled
PAY837B3285ED64,ACC3DF396B82A4E,2024-11-22,190.08,eft,settled
PAY09124F391902,ACC3DF396B82A4E,2024-11-25,283.14,eft,settled
PAYE5775AC587C4,ACC3DF396B82A4E,2024-12-20,220.43,eft,settled
PAY01C6B9039BB4,ACC3DF396B82A4E,2024-04-13,371.14,manual,settled
PAYA1E0DF50D089,ACC3DF396B82A4E,2023-12-01,345.66,manual,settled
PAY3504193245E3,ACC3DF396B82A4E,2024-11-23,193.67,pad,returned
PAYCCFFDF600B5A,ACC3DF396B82A4E,2025-01-11,201.3,manual,settled
PAYFEFD024F7DAF,ACC3DF396B82A4E,2024-09-26,310.22,manual,settled
PAY8BF542F0C46E,ACCF406295935C7,2024-07-03,353.64,eft,settled
PAY498167177A5E,ACCF406295935C7,2024-11-07,176.1,manual,settled
PAY7EFA0B898F4D,ACCF406295935C7,2024-06-22,336.44,interac,settled
PAYD878D173384D,ACCF406295935C7,2024-07-14,422.98,interac,settled
PAYFEAAD88E9F27,ACCF406295935C7,2024-08-05,247.12,pad,settled
PAYA68CD33CA62D,ACCF406295935C7,2025-02-19,366.48,manual,settled
PAYCE05712D06B7,ACCF406295935C7,2024-11-27,217.06,pad,settled
PAY861E52F25059,ACCF406295935C7,2024-10-30,141.8,pad,settled
PAYD1272B5C14D7,ACCF406295935C7,2024-10-08,26.43,pad,settled
PAYE2536D2E6CB4,ACCF406295935C7,2024-11-06,497.62,interac,settled
PAY7715AE475020,ACCF406295935C7,2024-07-21,128.48,pad,settled
PAY1E1BB49B52CB,ACCF406295935C7,2024-10-26,348.21,interac,settled
PAYA26197718E9C,ACCF406295935C7,2024-12-01,274.51,eft,pending
PAY3E884BC3FBED,ACCF406295935C7,2025-03-16,393.47,interac,settled
PAY1A820D0F32D5,ACCF406295935C7,2024-09-09,183.49,manual,settled
PAY940E96B88F2B,ACCF406295935C7,2024-07-05,51.2,interac,settled
PAYD9895EE4B785,ACCF406295935C7,2025-03-01,40.14,eft,settled
PAY35F8710A4B8F,ACC7B92678F339B,2025-01-17,397.26,eft,settled
PAY5E3F196427EB,ACC7B92678F339B,2023-11-21,350.37,eft,settled
PAYB96DF4991301,ACC7B92678F339B,2024-02-25,131.8,pad,settled
PAY8B98DB4FA5E1,ACC7B92678F339B,2023-08-01,292.41,manual,settled
PAYDF34617783F5,ACC7B92678F339B,2024-08-20,26.45,pad,settled
PAY0BE7D4AC11BB,ACC7B92678F339B,2024-06-22,256.8,eft,settled
PAY0D44BEC0BC16,ACC7B92678F339B,2023-10-22,164.24,pad,settled
PAY991C04C639CF,ACC7B92678F339B,2024-06-02,138.81,interac,settled
PAY1D3A8D872F5D,ACC7B92678F339B,2023-06-30,485.71,pad,settled
PAYB6C4829DF77F,ACC7B92678F339B,2023-10-04,324.79,manual,pending
PAYEAFF89BD1414,ACC7B92678F339B,2023-11-11,151.35,manual,settled
PAYE3472EC25E71,ACC7B92678F339B,2025-03-23,258.93,eft,returned
PAYF94AE11426CF,ACC7B92678F339B,2024-01-20,92.77,eft,settled
PAYEA7E73BC2CE0,ACC7B92678F339B,2024-06-23,226.33,eft,settled
PAY0E8EDE4AFAD2,ACC7B92678F339B,2025-02-05,61.4,manual,settled
PAY566D4B6B7390,ACC7B92678F339B,2023-09-03,28.45,pad,settled
PAY89F295B3923B,ACC7B92678F339B,2024-12-19,406.0,interac,settled
PAY6A709FC84842,ACC7B92678F339B,2023-06-28,251.25,eft,returned
PAY90EAA7386E5E,ACC7B92678F339B,2025-01-24,286.4,eft,settled
PAY48E3DFD95A33,ACC7B92678F339B,2023-08-01,140.09,manual,settled
PAY9243BEE7D431,ACC7B92678F339B,2023-06-17,115.63,pad,settled
PAYCE4CC18E72A8,ACC7B92678F339B,2025-02-20,67.69,interac,settled
PAY28DC4817FB20,ACC7B92678F339B,2024-09-18,452.09,pad,returned
PAY093EF7E277AE,ACC48F14A1CF733,2024-09-22,421.82,pad,settled
PAYE13332C326FD,ACC48F14A1CF733,2024-04-12,65.8,interac,pending
PAY65EABBEFB0BB,ACC48F14A1CF733,2023-08-07,468.46,pad,settled
